url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
https://tympanus.net/Development/Origami,DIV,114688.0,7,128px,"rgba(0, 0, 0, 0)",auto,auto,"""Zen Dots"", sans-serif",400,normal,128px,normal,0px,start,"none solid rgba(0, 0, 0, 0)",none,none,none,"rgba(0, 0, 0, 0)","linear-gradient(to left, rgb(130, 130, 130), rgb(255, 255, 255))",0% 0%,repeat,auto
http://tympanus.net/Development/LineTextHoverAnimations/,BODY,523008.0,2043,16px,"rgb(0, 0, 0)",auto,auto,"""JetBrains Mono"", monospace",300,normal,normal,normal,0px,start,"none solid rgb(0, 0, 0)",uppercase,none,none,"rgb(255, 255, 255)",none,0% 0%,repeat,auto
http://tympanus.net/Development/LineTextHoverAnimations/,MAIN,509696.0,1991,16px,"rgb(0, 0, 0)",auto,auto,"""JetBrains Mono"", monospace",300,normal,normal,normal,0px,start,"none solid rgb(0, 0, 0)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
http://tympanus.net/Development/LineTextHoverAnimations/,SECTION,432384.0,1689,16px,"rgb(0, 0, 0)",auto,auto,"""JetBrains Mono"", monospace",300,normal,normal,normal,0px,start,"none solid rgb(0, 0, 0)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
http://tympanus.net/Development/LineTextHoverAnimations/,SECTION,432384.0,1689,16px,"rgb(0, 0, 0)",auto,auto,"""JetBrains Mono"", monospace",300,normal,normal,normal,0px,start,"none solid rgb(0, 0, 0)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
