url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/PushGridItems/,BODY,49104.0,341,12px,"rgba(255, 255, 255, 0.6)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgba(255, 255, 255, 0.6)",none,none,none,"rgb(0, 0, 0)","url(""https://tympanus.net/Development/PushGridItems/img/noise.png""), radial-gradient(at center top, rgb(8, 19, 38), rgba(0, 0, 0, 0)), radial-gradient(at center bottom, rgb(36, 17, 47), rgba(0, 0, 0, 0))","0% 0%, 0% 0%, 0% 0%","repeat, repeat, repeat","180px, 100%, 200%"
https://tympanus.net/Development/PushGridItems/,MAIN,45504.0,316,12px,"rgba(255, 255, 255, 0.6)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgba(255, 255, 255, 0.6)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/PushGridItems/,HEADER,33984.0,236,12px,"rgba(255, 255, 255, 0.6)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgba(255, 255, 255, 0.6)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/PushGridItems/,HEADER,33984.0,236,12px,"rgba(255, 255, 255, 0.6)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgba(255, 255, 255, 0.6)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/PushGridItems/,DIV,12672.0,88,12px,"rgba(255, 255, 255, 0.6)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,right,"none solid rgba(255, 255, 255, 0.6)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/PushGridItems/,A,12672.0,88,12px,"rgb(255, 255, 255)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,right,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,BODY,245952.0,1708,12px,"rgb(41, 40, 40)",auto,auto,"new-science-mono, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgb(221, 221, 221)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,MAIN,238032.0,1653,12px,"rgb(41, 40, 40)",auto,auto,"new-science-mono, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition/,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
